City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Robertsport,LR,6.7533,-11.3686,79.2,79,100,5.17,Clouds
1,Lavrentiya,RU,65.5833,-171.0,29.82,97,100,2.59,Snow
2,Hambantota,LK,6.1241,81.1185,82.71,83,100,19.84,Clouds
3,Harrismith,ZA,-28.2728,29.1295,44.6,88,92,4.41,Clouds
4,Northam,GB,51.0333,-4.2167,60.66,71,84,10.13,Clouds
5,Zhuhai,CN,22.2769,113.5678,76.78,78,40,9.22,Clouds
6,Mahebourg,MU,-20.4081,57.7,75.49,83,40,5.75,Clouds
7,Butaritari,KI,3.0707,172.7902,81.27,81,29,16.67,Clouds
8,Anadyr,RU,64.75,177.4833,32.5,100,100,8.95,Snow
9,Zhangjiakou,CN,40.81,114.8794,49.8,68,100,3.62,Rain
10,Coquimbo,CL,-29.9533,-71.3436,62.33,67,100,6.91,Clouds
11,Lompoc,US,34.6391,-120.4579,64.56,68,0,25.32,Clear
12,Masuda,JP,34.6667,131.85,58.64,75,87,2.89,Clouds
13,Ust-Kan,RU,50.9276,84.761,31.32,60,1,2.42,Clear
14,East London,ZA,-33.0153,27.9116,61.74,82,0,8.05,Clear
15,Broome,US,42.2506,-75.833,62.62,31,11,8.01,Clouds
16,Kodiak,US,57.79,-152.4072,44.11,49,0,11.5,Clear
17,Kemijarvi,FI,66.7131,27.4306,39.52,57,90,6.93,Clouds
18,Vaini,TO,-21.2,-175.2,73.56,88,20,5.75,Clouds
19,Punta Arenas,CL,-53.15,-70.9167,44.71,61,40,36.82,Clouds
20,Concord,US,37.978,-122.0311,58.98,57,20,19.57,Clouds
21,Yellowknife,CA,62.456,-114.3525,30.72,80,100,27.63,Clouds
22,Forecariah,GN,9.4306,-13.0881,85.08,69,100,9.13,Clouds
23,Banos,EC,-1.4,-78.4167,57.67,81,99,3.04,Rain
24,Seymchan,RU,62.8833,152.4333,22.75,93,10,4.38,Clear
25,Ushuaia,AR,-54.8,-68.3,40.66,81,40,35.68,Drizzle
26,Mataura,NZ,-46.1927,168.8643,48.47,98,82,1.52,Clouds
27,Tsabong,BW,-26.0217,22.401,59.7,25,0,8.63,Clear
28,Castro,BR,-24.7911,-50.0119,67.42,55,17,4.99,Clouds
29,Port Elizabeth,ZA,-33.918,25.5701,63.32,74,75,10.36,Clouds
30,Bredasdorp,ZA,-34.5322,20.0403,56.17,83,91,3.78,Clouds
31,Kaitangata,NZ,-46.2817,169.8464,52.45,96,100,0.98,Clouds
32,Tsybli,UA,49.9948,31.5628,58.66,71,96,7.27,Clouds
33,Nikolskoye,RU,59.7035,30.7861,46.71,74,60,5.06,Rain
34,Gorzow Wielkopolski,PL,52.7368,15.2288,67.39,31,12,1.99,Clouds
35,Bali,ID,-8.5,115.0,79.77,90,88,4.0,Clouds
36,Camana,PE,-16.6228,-72.7111,70.77,72,22,11.65,Clouds
37,Moa,CU,20.6569,-74.9403,86.77,56,4,2.64,Clear
38,San Quintin,MX,30.4833,-115.95,62.78,65,67,16.08,Clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,80,75,13.8,Clouds
40,Port Hedland,AU,-20.3167,118.5667,69.85,68,82,6.91,Clouds
41,Verkhnyaya Inta,RU,65.9811,60.3094,45.72,79,78,13.15,Clouds
42,Harnosand,SE,62.6323,17.9379,48.22,49,100,11.12,Clouds
43,Cherskiy,RU,68.75,161.3,7.75,96,93,3.36,Clouds
44,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,16.11,Clouds
45,Ken Caryl,US,39.5773,-105.1169,65.93,38,8,11.99,Clear
46,Chilca,PE,-12.5211,-76.7372,68.27,80,84,5.23,Clouds
47,Kushmurun,KZ,52.4503,64.6311,53.35,29,27,7.85,Clouds
48,Buala,SB,-8.145,159.5921,79.97,86,97,8.05,Rain
49,Idah,NG,7.1065,6.7342,93.69,46,97,10.42,Clouds
50,Misratah,LY,32.3754,15.0925,64.71,76,32,15.5,Clouds
51,Saskylakh,RU,71.9167,114.0833,10.29,92,81,13.42,Clouds
52,Atuona,PF,-9.8,-139.0333,78.91,72,48,16.84,Clouds
53,Victoria,HK,22.2855,114.1577,77.38,80,100,10.0,Clouds
54,Hachinohe,JP,40.5,141.5,45.79,73,23,9.57,Clouds
55,Xai-Xai,MZ,-25.0519,33.6442,72.41,82,5,9.35,Clear
56,Baixa Grande,BR,-11.9597,-40.1681,88.56,28,4,11.34,Clear
57,Albany,US,42.6001,-73.9662,61.45,31,65,3.0,Clouds
58,Carnarvon,AU,-24.8667,113.6333,66.27,88,0,5.75,Clear
59,Rosetta,EG,31.4044,30.4164,68.38,60,32,19.82,Clouds
60,Naliya,IN,23.2667,68.8333,81.88,76,0,10.94,Clear
61,Opuwo,NA,-18.0607,13.84,73.35,28,0,5.28,Clear
62,Khatanga,RU,71.9667,102.5,5.88,97,19,9.6,Clouds
63,Belen,TR,36.4891,36.2233,62.74,56,20,18.41,Clouds
64,Hilo,US,19.7297,-155.09,78.28,94,100,6.91,Rain
65,Vostok,RU,46.4856,135.8833,31.57,89,92,4.43,Snow
66,Kosice,SK,48.6667,21.3333,70.43,56,0,12.66,Clear
67,Nalut,LY,30.3333,10.85,76.39,19,0,10.29,Clear
68,La Ronge,CA,55.1001,-105.2842,44.85,49,75,17.27,Clouds
69,Nizhniy Tsasuchey,RU,50.5167,115.1333,59.11,27,79,15.7,Clouds
70,Bengkulu,ID,-3.8004,102.2655,78.08,82,96,3.98,Clouds
71,Roma,US,43.2128,-75.4557,63.37,25,0,5.75,Clear
72,Pevek,RU,69.7008,170.3133,24.46,96,100,11.14,Snow
73,Thompson,CA,55.7435,-97.8558,46.56,87,100,13.8,Clouds
74,Dikson,RU,73.5069,80.5464,20.75,94,99,28.45,Snow
75,Cape Town,ZA,-33.9258,18.4232,64.27,70,0,5.75,Clear
76,Barrow,US,71.2906,-156.7887,19.42,86,100,10.36,Clouds
77,Marzuq,YE,14.4,46.4667,79.3,47,53,7.45,Clouds
78,Rikitea,PF,-23.1203,-134.9692,76.48,79,44,22.68,Rain
79,Dunedin,NZ,-45.8742,170.5036,53.8,90,100,1.01,Clouds
80,Jamestown,US,42.097,-79.2353,60.53,29,0,13.8,Clear
81,Sao Filipe,CV,14.8961,-24.4956,72.7,79,7,10.76,Clear
82,New Norfolk,AU,-42.7826,147.0587,42.71,76,23,2.39,Clouds
83,Norman Wells,CA,65.282,-126.8329,35.64,69,75,6.91,Clouds
84,Saint George,US,37.1041,-113.5841,77.43,12,0,6.91,Clear
85,Adrar,MR,20.5022,-10.0711,103.6,8,69,3.74,Clouds
86,Srandakan,ID,-7.9386,110.2506,78.1,88,100,2.51,Clouds
87,Gambela,ET,8.25,34.5833,79.09,73,71,3.33,Clouds
88,Port Lincoln,AU,-34.7333,135.8667,60.15,69,100,10.85,Clouds
89,Georgetown,MY,5.4112,100.3354,82.33,93,20,5.01,Rain
90,Copiapo,CL,-27.3667,-70.3333,65.89,52,68,5.99,Clouds
91,Karasjok,NO,69.4719,25.5112,33.13,74,75,18.75,Clouds
92,Poopo,BO,-18.3667,-66.9667,56.17,27,7,23.78,Clear
93,Ponta Do Sol,PT,32.6667,-17.1,74.71,69,15,4.92,Clouds
94,Poum,NC,-20.2333,164.0167,76.06,64,89,12.71,Clouds
95,Kruisfontein,ZA,-34.0033,24.7314,58.89,68,41,1.68,Clouds
96,Provideniya,RU,64.3833,-173.3,31.01,98,100,5.57,Snow
97,Novosergiyevka,RU,52.0934,53.6528,52.83,47,100,7.9,Clouds
98,Avarua,CK,-21.2078,-159.775,80.65,89,40,6.91,Clouds
99,Paka,MY,4.6374,103.4368,80.53,94,86,1.14,Clouds
100,Torbay,CA,47.6666,-52.7314,50.88,52,20,11.5,Clouds
101,Batagay-Alyta,RU,67.8006,130.4114,22.53,96,100,3.29,Clouds
102,Griffith,US,41.5284,-87.4237,66.04,51,0,14.97,Clear
103,Rawson,AR,-43.3002,-65.1023,65.12,29,100,30.31,Clouds
104,Tiksi,RU,71.6872,128.8694,0.19,99,51,4.21,Clouds
105,Fairbanks,US,64.8378,-147.7164,38.08,77,75,6.91,Clouds
106,Karasuk,RU,53.7377,78.0403,46.96,71,24,6.33,Clouds
107,Kolpashevo,RU,58.3131,82.9089,33.64,51,3,2.86,Clear
108,Ajdabiya,LY,30.7554,20.2263,69.98,49,0,16.58,Clear
109,Busselton,AU,-33.65,115.3333,57.9,83,5,4.14,Clear
110,Auki,SB,-8.7676,160.7034,78.24,88,71,4.47,Clouds
111,Nanortalik,GL,60.1432,-45.2371,37.18,90,100,2.71,Clouds
112,Longyearbyen,SJ,78.2186,15.6401,19.24,58,40,13.8,Clouds
113,Kandi,BJ,11.1342,2.9386,100.18,25,85,2.55,Rain
114,Hermanus,ZA,-34.4187,19.2345,59.81,78,62,4.38,Clouds
115,Goderich,CA,43.7501,-81.7165,55.72,47,0,8.05,Clear
116,Mount Isa,AU,-20.7333,139.5,67.77,60,16,9.22,Clouds
117,Glyadyanskoye,RU,54.9075,65.0883,53.91,39,22,5.32,Clouds
118,Umm Kaddadah,SD,13.6017,26.6876,89.76,5,52,12.55,Clouds
119,Bluff,NZ,-46.6,168.3333,48.79,90,55,2.37,Rain
120,Linguere,SN,15.3953,-15.1193,106.02,35,0,4.61,Clear
121,Avera,US,33.194,-82.5271,65.91,62,100,9.73,Clouds
122,Byron Bay,AU,-28.65,153.6167,60.69,74,100,12.26,Clouds
123,Mount Gambier,AU,-37.8333,140.7667,40.91,100,100,0.0,Fog
124,Bukama,CD,-9.2,25.85,75.76,64,67,2.53,Clouds
125,Jaggayyapeta,IN,16.9,80.1,86.04,65,99,15.48,Clouds
126,Srednekolymsk,RU,67.45,153.6833,21.81,88,97,7.16,Clouds
127,Kapaa,US,22.0752,-159.319,73.72,90,75,13.8,Clouds
128,Esperance,AU,-33.8667,121.9,55.24,43,8,11.74,Clear
129,Chernyshevskiy,RU,63.0128,112.4714,28.33,96,100,10.54,Snow
130,Kaoma,ZM,-14.7833,24.8,69.21,55,34,4.14,Clouds
131,Qixia,CN,37.2975,120.8256,42.55,96,67,5.12,Clouds
132,Katsuura,JP,35.1333,140.3,60.3,65,100,9.57,Clouds
133,Taoudenni,ML,22.6783,-3.9836,98.78,4,26,13.15,Clouds
134,Ilulissat,GL,69.2167,-51.1,30.22,59,0,4.61,Clear
135,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,43,8.32,Clouds
136,Avigliana,IT,45.0771,7.3986,64.62,78,75,3.44,Thunderstorm
137,Awjilah,LY,29.1081,21.2869,83.01,19,0,15.48,Clear
138,Troitskoye,RU,52.9821,84.6757,41.09,35,65,5.93,Clouds
139,Puerto Ayora,EC,-0.7393,-90.3518,78.76,79,9,12.37,Clear
140,Asau,RO,46.4333,26.4,65.32,75,99,0.67,Clouds
141,Praxedis Guerrero,MX,31.3667,-106.0167,78.26,7,0,19.37,Clear
142,Tasiilaq,GL,65.6145,-37.6368,35.76,68,100,6.85,Clouds
143,Bethel,US,41.3712,-73.414,59.18,51,0,16.11,Clear
144,Ugoofaaru,MV,5.6667,73.0,84.6,79,95,16.33,Clouds
145,Hasaki,JP,35.7333,140.8333,61.2,49,100,12.77,Clouds
146,Savannah Bight,HN,16.45,-85.85,81.9,78,84,9.37,Clouds
147,Mar Del Plata,AR,-38.0023,-57.5575,73.94,64,0,19.57,Clear
148,Matagami,CA,49.7502,-77.6328,59.11,20,0,12.66,Clear
149,Luena,AO,-11.7833,19.9167,70.34,53,87,4.88,Clouds
150,Coahuayana,MX,18.7333,-103.6833,87.1,48,56,7.18,Clouds
151,Abu Samrah,SY,35.3029,37.1841,67.93,40,18,10.71,Clouds
152,Ahipara,NZ,-35.1667,173.1667,60.62,91,88,6.29,Clouds
153,Gunnedah,AU,-30.9833,150.25,45.32,65,0,5.57,Clear
154,Westport,US,41.1415,-73.3579,59.45,43,75,20.71,Clouds
155,Hukuntsi,BW,-24.0,21.75,59.05,26,0,10.29,Clear
156,Barra Patuca,HN,15.8,-84.2833,87.69,61,46,11.86,Clouds
157,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.66,40,1,5.73,Clear
158,Yago,MX,21.8333,-105.0667,91.54,33,30,4.7,Clouds
159,Ossora,RU,59.2353,163.0719,31.21,89,100,3.6,Clouds
160,Muzhi,RU,65.3667,64.6667,37.72,100,97,7.2,Clouds
161,Coronado,US,32.6859,-117.1831,64.58,74,75,11.5,Clouds
162,Codrington,AU,-38.2667,141.9667,46.2,85,24,5.23,Clouds
163,Vila,PT,42.0304,-8.1588,73.71,43,14,5.21,Clouds
164,Honningsvag,NO,70.9821,25.9704,33.55,69,75,9.22,Clouds
165,Azoyu,MX,16.7167,-98.7333,91.83,37,3,7.76,Clear
166,Romitan,UZ,39.9343,64.3814,82.35,36,0,6.91,Clear
167,Portland,US,45.5234,-122.6762,47.75,87,75,4.61,Rain
168,Dong Hoi,VN,17.4833,106.6,76.46,94,75,3.89,Clouds
169,Athabasca,CA,54.7169,-113.2854,39.61,66,100,17.94,Clouds
170,Osa,RU,57.2829,55.4567,51.82,61,48,5.91,Clouds
171,Tenenkou,ML,14.4572,-4.9169,108.57,8,49,16.13,Clouds
172,Muros,ES,42.7762,-9.0603,72.09,48,14,5.75,Clouds
173,Kieta,PG,-6.2167,155.6333,78.64,88,71,3.53,Rain
174,Upernavik,GL,72.7868,-56.1549,20.82,68,91,5.95,Clouds
175,College,US,64.8569,-147.8028,38.07,78,75,6.91,Clouds
176,Hamilton,US,39.1834,-84.5333,66.76,51,0,16.11,Clear
177,Qaanaaq,GL,77.484,-69.3632,25.56,64,100,2.48,Clouds
178,San Policarpo,PH,12.1791,125.5072,81.68,70,56,11.97,Clouds
179,Sitka,US,57.0531,-135.33,46.29,66,40,6.91,Clouds
180,Saldanha,ZA,-33.0117,17.9442,60.85,78,21,7.9,Clouds
181,Prince Rupert,CA,54.3161,-130.3201,46.49,84,75,5.75,Clouds
182,Nome,US,64.5011,-165.4064,32.16,100,100,18.41,Snow
183,Talnakh,RU,69.4865,88.3972,3.0,98,31,2.64,Clouds
184,Cururupu,BR,-1.8283,-44.8683,78.96,93,98,2.75,Clouds
185,Port Alfred,ZA,-33.5906,26.891,59.18,90,91,3.0,Clouds
186,Danilov,RU,58.1908,40.1717,46.63,95,100,8.1,Rain
187,Chapulhuacan,MX,21.1667,-98.9,93.63,37,4,5.28,Clear
188,Raduzhnyy,RU,62.0961,77.475,28.17,99,87,2.68,Clouds
189,Chokurdakh,RU,70.6333,147.9167,10.11,89,99,6.78,Clouds
190,Port-Gentil,GA,-0.7193,8.7815,85.96,74,75,12.66,Clouds
191,Kahului,US,20.8947,-156.47,74.84,79,40,7.0,Clouds
192,Ambon,ID,-3.6954,128.1814,78.94,94,40,2.3,Clouds
193,Cabral,DO,18.25,-71.2167,84.06,74,20,12.66,Clouds
194,Novoorsk,RU,51.381,58.9813,54.25,40,44,11.59,Clouds
195,Hithadhoo,MV,-0.6,73.0833,84.72,77,73,19.33,Clouds
196,Lebu,CL,-37.6167,-73.65,57.33,92,99,7.54,Clouds
197,Port Hardy,CA,50.6996,-127.4199,46.58,76,75,3.44,Clouds
198,Tuatapere,NZ,-46.1333,167.6833,50.02,94,60,2.53,Clouds
199,Garden City,US,42.3256,-83.331,64.0,49,0,9.22,Clear
200,Marshall,US,34.3834,-86.3333,71.08,60,75,4.61,Clouds
201,Port Blair,IN,11.6667,92.75,82.44,83,75,8.05,Drizzle
202,Jose Bonifacio,BR,-21.0528,-49.6883,85.26,46,1,4.07,Clear
203,Geraldton,AU,-28.7667,114.6,59.41,94,75,8.05,Clouds
204,Hervey Bay,AU,-25.2986,152.8535,70.21,88,100,6.42,Rain
205,Lons-Le-Saunier,FR,46.75,5.75,66.09,60,90,8.77,Clouds
206,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,75,9.22,Clouds
207,Ndjole,GA,-0.1783,10.7649,80.67,86,82,0.81,Rain
208,Kitob,UZ,39.0843,66.8332,77.65,36,1,5.23,Clear
209,Clinton,US,42.587,-82.9199,64.08,55,17,1.01,Clouds
210,Airai,TL,-8.9266,125.4092,59.54,90,57,3.67,Clouds
211,Souillac,MU,-20.5167,57.5167,75.58,83,40,5.75,Clouds
212,Coihueco,CL,-36.6167,-71.8333,48.94,93,100,4.61,Mist
213,Ratesti,RO,44.7333,25.1333,59.54,47,100,5.5,Clouds
214,Yatou,CN,37.15,122.3833,44.35,93,59,6.46,Clouds
215,Sinnamary,GF,5.3833,-52.95,83.19,70,42,11.23,Clouds
216,Kenai,US,60.5544,-151.2583,49.03,70,0,12.66,Clear
217,Cidreira,BR,-30.1811,-50.2056,68.34,70,0,13.71,Clear
218,Kavieng,PG,-2.5744,150.7967,83.25,73,97,18.05,Clouds
219,Grand Gaube,MU,-20.0064,57.6608,75.6,78,4,1.99,Clear
220,San Cristobal,VE,7.7669,-72.225,82.58,50,58,8.34,Clouds
221,Trat,TH,12.5,102.5,83.91,89,100,2.44,Clouds
222,Yiyang,CN,28.5892,112.3283,65.89,89,97,4.05,Clouds
223,Janow Lubelski,PL,50.707,22.4104,67.23,62,62,4.99,Clouds
224,Harper,LR,4.375,-7.7169,77.27,90,100,4.92,Rain
225,Sorland,NO,67.667,12.6934,39.06,83,100,20.65,Clouds
226,Shache,CN,38.4167,77.2406,76.17,19,1,5.48,Clear
227,Barberton,ZA,-25.7884,31.0532,60.89,90,63,3.33,Rain
228,Gerash,IR,27.6652,54.1371,86.14,21,0,6.4,Clear
229,Pouebo,NC,-20.4,164.5667,71.74,77,97,9.64,Clouds
230,Ancud,CL,-41.8697,-73.8203,54.36,75,32,4.14,Clouds
231,Rosarito,MX,32.3333,-117.0333,64.63,72,100,10.33,Clouds
232,Narsaq,GL,60.9167,-46.05,39.63,79,100,5.21,Clouds
233,Hami,CN,42.8,93.45,69.15,34,26,5.14,Clouds
234,Alofi,NU,-19.0595,-169.9187,78.69,89,73,8.05,Clouds
235,Te Anau,NZ,-45.4167,167.7167,47.68,92,54,1.12,Clouds
236,Salalah,OM,17.0151,54.0924,84.29,79,20,9.22,Clouds
237,Itarema,BR,-2.9248,-39.9167,80.22,86,100,10.78,Rain
238,Hobart,AU,-42.8794,147.3294,43.05,87,19,6.91,Clouds
